item,itemLabel,patrons,lat,long
http://www.wikidata.org/entity/Q289972,Geneva International Airport,17351816,46.238333333333,6.1094444444444
http://www.wikidata.org/entity/Q1144167,Shenyang Taoxian International Airport,17342626,41.64,123.48361111111
http://www.wikidata.org/entity/Q736627,Montréal–Pierre Elliott Trudeau International Airport,17258472,45.4706,-73.7408
http://www.wikidata.org/entity/Q909488,Brasília International Airport,16737545,-15.871111111111,-47.918611111111
http://www.wikidata.org/entity/Q483223,Gimhae International Airport,16403541,35.180555555556,128.93805555556
http://www.wikidata.org/entity/Q1160343,Calgary International Airport,16275862,51.113889,-114.020278
http://www.wikidata.org/entity/Q733998,Rio de Janeiro-Galeão International Airport,16141941,-22.81,-43.25056
http://www.wikidata.org/entity/Q690122,Pulkovo Airport,16125520,59.800277777778,30.2625
http://www.wikidata.org/entity/Q8712,Luton Airport,15990276,51.874722,-0.368333
http://www.wikidata.org/entity/Q461793,Cairo International Airport,15959046,30.121944444444,31.405555555556
http://www.wikidata.org/entity/Q430490,Esenboğa International Airport,15817236,40.128055555556,32.995
http://www.wikidata.org/entity/Q465071,Warsaw Chopin Airport,15762747,52.165833333333,20.967222222222
http://www.wikidata.org/entity/Q1046748,Osaka International Airport,15597777,34.785527777778,135.43822222222
http://www.wikidata.org/entity/Q99172,Prague Václav Havel Airport,15371502,50.100833333333,14.26
http://www.wikidata.org/entity/Q1378003,Jinan Yaoqiang International Airport,14319264,36.857222222222,117.21611111111
http://www.wikidata.org/entity/Q3238350,Nanning Wuxu International Airport,13915542,22.608266666667,108.17244166667
http://www.wikidata.org/entity/Q849314,Alicante Airport,13713063,38.282222222222,-0.55805555555556
http://www.wikidata.org/entity/Q8716,Edinburgh Airport,13410343,55.95,-3.3725
http://www.wikidata.org/entity/Q821557,Nice Côte d'Azur Airport,13304782,43.665277777778,7.215
http://www.wikidata.org/entity/Q500945,Budapest Ferenc Liszt International Airport,13097223,47.439444444444,19.261944444444
http://www.wikidata.org/entity/Q1130612,Gran Canaria Airport,13092475,27.931944444444,-15.386666666667
http://www.wikidata.org/entity/Q8719,Birmingham Airport,12990303,52.453888888889,-1.7480555555556
http://www.wikidata.org/entity/Q9689,Berlin Schönefeld Airport,12865312,52.378611,13.520556
http://www.wikidata.org/entity/Q504382,Izmir Adnan Menderes Airport,12825242,38.289166666667,27.155
http://www.wikidata.org/entity/Q3234734,Lanzhou Zhongchuan International Airport,12816443,36.5075,103.61944444444
http://www.wikidata.org/entity/Q932025,Miguel Hidalgo y Costilla Guadalajara International Airport,12808000,20.521837,-103.311145
http://www.wikidata.org/entity/Q257631,Henri Coandă International Airport,12804191,44.571111111111,26.085
http://www.wikidata.org/entity/Q1350630,Fuzhou Changle International Airport,12469235,25.935,119.66333333333
http://www.wikidata.org/entity/Q2361055,Taiyuan Wusu International Airport,12401086,37.746944444444,112.62833333333
http://www.wikidata.org/entity/Q157741,Cologne Bonn Airport,12384223,50.865833333333,7.1427777777778
http://www.wikidata.org/entity/Q45935,Perth Airport,12381495,-31.940277777778,115.96694444444
http://www.wikidata.org/entity/Q517873,Il Caravaggio International Airport,12336137,45.668888888889,9.7002777777778
http://www.wikidata.org/entity/Q1197677,Changchun Longjia International Airport,11662943,43.90568,125.20088
http://www.wikidata.org/entity/Q679345,Chubu Centrair International Airport,11446244,34.858333333333,136.80527777778
http://www.wikidata.org/entity/Q821984,Tenerife South Airport,11248882,28.044444444444,-16.5725
http://www.wikidata.org/entity/Q158732,Stuttgart Airport,10962247,48.69,9.2219444444444
http://www.wikidata.org/entity/Q1375451,Nanchang Changbei International Airport,10937105,28.865,115.9
http://www.wikidata.org/entity/Q943743,Francisco de Sá Carneiro Airport,10790271,41.235555555556,-8.6780555555556
http://www.wikidata.org/entity/Q854130,Cape Town International Airport,10693063,-33.969444444444,18.597222222222
http://www.wikidata.org/entity/Q849347,Venice Marco Polo Airport,10371380,45.505277777778,12.351944444444
http://www.wikidata.org/entity/Q3238282,Hohhot Baita International Airport,10348617,40.853333,111.821667
http://www.wikidata.org/entity/Q384788,Ministro Pistarini International Airport,10327203,-34.82222222,-58.53583333
http://www.wikidata.org/entity/Q1547,Lyon-Saint Exupéry Airport,10280192,45.725555555556,5.0811111111111
http://www.wikidata.org/entity/Q44923,Addis Ababa Bole International Airport,10189351,8.9777777777778,38.799444444444
http://www.wikidata.org/entity/Q1987608,Tancredo Neves International Airport,10073928,-19.62389,-43.97139
http://www.wikidata.org/entity/Q1048704,Mactan–Cebu International Airport,10050940,10.316666666667,123.98333333333
http://www.wikidata.org/entity/Q8721,Glasgow Airport,9897959,55.871944444444,-4.4330555555556
